,name,hierarchy,countries,iso3
263,WITCH 6.0|Latin America and the Caribbean,WITCH 6.0,"['Antarctica', 'Bermuda', 'South Georgia and the South Sandwich Islands', 'Turks and Caicos Islands', 'British Virgin Islands', 'United States Virgin Islands', 'Aruba', 'Anguilla', 'Argentina', 'Antigua and Barbuda', 'Bonaire, Sint Eustatius and Saba', 'Bahamas', 'Saint Barthélemy', 'Belize', 'Bolivia', 'Barbados', 'Chile', 'Colombia', 'Costa Rica', 'Cuba', 'Curaçao', 'Cayman Islands', 'Dominica', 'Dominican Republic', 'Ecuador', 'Falkland Islands (Malvinas)', 'Guadeloupe', 'Grenada', 'Guatemala', 'French Guiana', 'Guyana', 'Honduras', 'Haiti', 'Jamaica', 'Saint Kitts and Nevis', 'Saint Lucia', 'Saint Martin (French part)', 'Montserrat', 'Martinique', 'Nicaragua', 'Panama', 'Peru', 'Puerto Rico', 'Paraguay', 'El Salvador', 'Suriname', 'Sint Maarten (Dutch part)', 'Trinidad and Tobago', 'Uruguay', 'Saint Vincent and the Grenadines', 'Venezuela']","['ATA', 'BMU', 'SGS', 'TCA', 'VGB', 'VIR', 'ABW', 'AIA', 'ARG', 'ATG', 'BES', 'BHS', 'BLM', 'BLZ', 'BOL', 'BRB', 'CHL', 'COL', 'CRI', 'CUB', 'CUW', 'CYM', 'DMA', 'DOM', 'ECU', 'FLK', 'GLP', 'GRD', 'GTM', 'GUF', 'GUY', 'HND', 'HTI', 'JAM', 'KNA', 'LCA', 'MAF', 'MSR', 'MTQ', 'NIC', 'PAN', 'PER', 'PRI', 'PRY', 'SLV', 'SUR', 'SXM', 'TTO', 'URY', 'VCT', 'VEN']"
264,WITCH 6.0|Middle East and North Africa,WITCH 6.0,"['United Arab Emirates', 'Bahrain', 'Algeria', 'Egypt', 'Western Sahara', 'Iran', 'Iraq', 'Israel', 'Jordan', 'Kuwait', 'Lebanon', 'Libya', 'Morocco', 'Oman', 'Palestine', 'Qatar', 'Saudi Arabia', 'Syria', 'Tunisia', 'Yemen']","['ARE', 'BHR', 'DZA', 'EGY', 'ESH', 'IRN', 'IRQ', 'ISR', 'JOR', 'KWT', 'LBN', 'LBY', 'MAR', 'OMN', 'PSE', 'QAT', 'SAU', 'SYR', 'TUN', 'YEM']"
265,WITCH 6.0|Mexico,WITCH 6.0,['Mexico'],['MEX']
266,"WITCH 6.0|Australia, New Zealand, and Oceania islands",WITCH 6.0,"['New Zealand', 'Australia', 'Christmas Island', 'Cook Islands', 'Heard Island and McDonald Islands', 'Norfolk Island', 'Niue', 'Nauru', 'Pitcairn', 'Tokelau', 'Tuvalu', 'United States Minor Outlying Islands', 'Wallis and Futuna', 'Fiji', 'Papua New Guinea', 'Micronesia', 'Guam', 'American Samoa', 'Timor-Leste', 'French Polynesia', 'Kiribati', 'Northern Mariana Islands', 'Marshall Islands', 'New Caledonia', 'Palau', 'Samoa', 'Solomon Islands', 'Tonga', 'Vanuatu']","['NZL', 'AUS', 'CXR', 'COK', 'HMD', 'NFK', 'NIU', 'NRU', 'PCN', 'TKL', 'TUV', 'UMI', 'WLF', 'FJI', 'PNG', 'FSM', 'GUM', 'ASM', 'TLS', 'PYF', 'KIR', 'MNP', 'MHL', 'NCL', 'PLW', 'WSM', 'SLB', 'TON', 'VUT']"
267,WITCH 6.0|South Asia,WITCH 6.0,"['Afghanistan', 'Bangladesh', 'Bhutan', 'Sri Lanka', 'Maldives', 'Nepal', 'Pakistan']","['AFG', 'BGD', 'BTN', 'LKA', 'MDV', 'NPL', 'PAK']"
268,WITCH 6.0|South East Asia,WITCH 6.0,"['Brunei Darussalam', 'Cocos (Keeling) Islands', 'Cambodia', 'Laos', 'Myanmar', 'Malaysia', 'Philippines', 'Singapore', 'Thailand', 'Viet Nam']","['BRN', 'CCK', 'KHM', 'LAO', 'MMR', 'MYS', 'PHL', 'SGP', 'THA', 'VNM']"
269,WITCH 6.0|South Africa,WITCH 6.0,['South Africa'],['ZAF']
270,WITCH 6.0|Sub-Saharan Africa,WITCH 6.0,"['Djibouti', 'British Indian Ocean Territory', 'Bouvet Island', 'French Southern Territories', 'Angola', 'Benin', 'Botswana', 'Burkina Faso', 'Burundi', 'Cameroon', 'Cabo Verde', 'Central African Republic', 'Chad', 'Comoros', 'Congo', 'Democratic Republic of the Congo', ""Côte d'Ivoire"", 'Equatorial Guinea', 'Eritrea', 'Ethiopia', 'Gabon', 'Gambia', 'Ghana', 'Guinea', 'Guinea-Bissau', 'Kenya', 'Lesotho', 'Liberia', 'Madagascar', 'Malawi', 'Mali', 'Mauritania', 'Mauritius', 'Mayotte', 'Mozambique', 'Namibia', 'Niger', 'Nigeria', 'Réunion', 'Rwanda', 'Sao Tome and Principe', 'Senegal', 'Seychelles', 'Saint Helena, Ascension and Tristan da Cunha', 'Sierra Leone', 'Somalia', 'South Sudan', 'Sudan', 'Eswatini', 'Tanzania', 'Togo', 'Uganda', 'Zambia', 'Zimbabwe']","['DJI', 'IOT', 'BVT', 'ATF', 'AGO', 'BEN', 'BWA', 'BFA', 'BDI', 'CMR', 'CPV', 'CAF', 'TCD', 'COM', 'COG', 'COD', 'CIV', 'GNQ', 'ERI', 'ETH', 'GAB', 'GMB', 'GHA', 'GIN', 'GNB', 'KEN', 'LSO', 'LBR', 'MDG', 'MWI', 'MLI', 'MRT', 'MUS', 'MYT', 'MOZ', 'NAM', 'NER', 'NGA', 'REU', 'RWA', 'STP', 'SEN', 'SYC', 'SHN', 'SLE', 'SOM', 'SSD', 'SDN', 'SWZ', 'TZA', 'TGO', 'UGA', 'ZMB', 'ZWE']"
271,WITCH 6.0|Non-EU Eastern European and Transition Countries,WITCH 6.0,"['Mongolia', 'Armenia', 'Azerbaijan', 'Belarus', 'Georgia', 'Kazakhstan', 'Kyrgyzstan', 'Moldova', 'Russian Federation', 'Tajikistan', 'Turkey', 'Turkmenistan', 'Ukraine', 'Uzbekistan']","['MNG', 'ARM', 'AZE', 'BLR', 'GEO', 'KAZ', 'KGZ', 'MDA', 'RUS', 'TJK', 'TUR', 'TKM', 'UKR', 'UZB']"
272,WITCH 6.0|United States,WITCH 6.0,['United States'],['USA']
